site,site_names,age_rank,elevation_m,clay,silt,sand,ph,soilC,om_2017,litter_cov,bare_cov,cowpie_cov,rock_cov,veg_cov,soilN,vwc_may_avg_shallow,vwc_may_avg_deep
A,PP1,1,1680,11.81,18.27,69.92,6.8,3.454,6.45,12.928571,10.571429,0.6428571,1.2571429,79.67857,0.3299,0.171634409,0.280992608
B,PP2,1,1672,9.76,12.31,77.93,6.9,3.44,6.51,3.857143,6.178571,0,0.75,110.31821,0.3232,,
C,L1,2,1677,12.26,13.99,73.74,6.4,2.859,5.72,9.75,10.25,0.25,9.6785714,72.38571,0.2796,0.273817876,0.295467742
D,L2,2,1687,8.45,8.91,82.64,6.3,3.283,6.05,11.285714,15.071429,1.1071429,13.6428571,62.6,0.2949,,
E,S1,3,1689,20.12,15.44,64.44,6.6,4.26,7.04,24.535714,12.642857,1.6071429,1.6785714,63.68214,0.414,0.319168683,0.307660618
F,S2,3,1704,9.67,8.86,81.47,6.7,2.884,5.74,14.933929,10.785714,0.2857143,10.8571429,64.16429,0.2846,,
G,V1,4,1806,20.08,16.23,63.69,6.5,3.307,6.41,8.285714,15.821429,0,4.5357143,74.46071,0.3035,0.17497379,0.331761425
H,V2,4,1809,15.68,16.6,67.72,6.5,3.805,7.99,6.107143,25.571429,0.2142857,5.7857143,63.41429,NA,,
I,YRF1,5,1908,8.5,16.64,74.86,6.2,3.569,6.81,9.142857,23.821429,0.5392857,11.8928571,55.775,0.3217,0.327001344,0.380193548
J,YRF2,5,1920,9.79,20.04,70.17,6.2,4.491,7.91,12.714286,12.142857,0,7.6785714,70.27143,0.4109,,
K,ORF1,6,1907,8.51,19.23,72.26,6.4,4.048,7.59,14.678571,15.392857,0.8571429,6.2857143,64.74643,0.3472,0.270762769,0.290707661
L,ORF2,6,1909,10.59,14.06,75.35,6.3,4.144,8.91,13.321429,17.285714,0,4.8928571,66.04286,0.3579,,
